plot_id,species,cover,life_form,site_id,date,time,n_forb_flowers,n_grass_flowers,lidar_scanner_height,woody_height,herb_height,bare_ground_cover,rock_cover,herbivore_signs,notes,plot_number,exclosure_id,setup_id,pair_id,cluster_number,cluster_id,in_or_out,plant_richness_plot,plant_richness_cluster,plant_richness_site,woody_richness_plot,woody_richness_cluster,woody_richness_site,forb_richness_plot,forb_richness_cluster,forb_richness_site,graminoid_richness_plot,graminoid_richness_cluster,graminoid_richness_site
pnr_in_14,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,14:07,0,19,94,66,30.2,0,0,none,"",14,pnr,pnr,pnr_14,5,pnr_in_5,inside,2,4,31,1,3,14,,,,1,1,7
pnr_in_15,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,14:28,0,63,93,0,29.8,0,0,none,"",15,pnr,pnr,pnr_15,5,pnr_in_5,inside,1,4,31,,,,,,,1,1,7
pnr_in_17,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,15:16,0,15,96,50,27,0,0,none,"",17,pnr,pnr,pnr_17,6,pnr_in_6,inside,3,6,31,2,3,14,,,,1,3,7
pnr_in_18,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,15:33,0,36,95,42,28.8,0,0,none,"",18,pnr,pnr,pnr_18,6,pnr_in_6,inside,2,6,31,1,3,14,,,,1,3,7
pnr_in_2,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,8:18,0,120,96,90.7,31.8,0,0,none,"",2,pnr,pnr,pnr_2,1,pnr_in_1,inside,3,9,31,2,3,14,,,,1,4,7
pnr_in_4,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,9:15,0,120,94,27.2,42,0,0,none,"",4,pnr,pnr,pnr_4,2,pnr_in_2,inside,3,5,31,1,1,14,1,3,11,1,1,7
pnr_in_5,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,9:34,5,36,96,0,61.2,0,0,none,"",5,pnr,pnr,pnr_5,2,pnr_in_2,inside,2,5,31,,,,1,3,11,1,1,7
pnr_out_10,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,9:39,0,85,92,270,106,0,0,none,"",10,pnr,pnr,pnr_10,4,pnr_out_4,outside,5,7,49,4,5,19,,,,1,1,7
pnr_out_11,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,10:09,0,73,94,140,68,1,0,"flattened grass, snapped marula","",11,pnr,pnr,pnr_11,4,pnr_out_4,outside,3,7,49,2,5,19,,,,1,1,7
pnr_out_12,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,10:30,0,140,93,50,82,0,0,none,"",12,pnr,pnr,pnr_12,4,pnr_out_4,outside,4,7,49,2,5,19,1,1,23,1,1,7
pnr_out_13,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,11:00,0,1,93,150,92.2,0,0,"uprooted marula, fresh path","",13,pnr,pnr,pnr_13,5,pnr_out_5,outside,5,15,49,4,7,19,,,,1,1,7
pnr_out_14,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,11:22,20,35,94,110,105,0,0,none,"",14,pnr,pnr,pnr_14,5,pnr_out_5,outside,6,15,49,3,7,19,2,7,23,1,1,7
pnr_out_4,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,15:31,0,130,93,140,65,0,0,"Kudu dung, browsing damage","",4,pnr,pnr,pnr_4,2,pnr_out_2,outside,5,8,49,2,3,19,2,4,23,1,1,7
pnr_out_6,Panicum maximum,100,Graminoid,pnr_out,14.02.2025,16:11,0,63,94,102,60,0,0,none,"",6,pnr,pnr,pnr_6,2,pnr_out_2,outside,3,8,49,1,3,19,1,4,23,1,1,7
knp_roan_in_10,Schmidtia pappophoroides,100,Graminoid,knp_roan_in,26.02.2025,11:33,0,37,92,85,31,0,0,none,"",10,knp_roan,knp_roan,knp_roan_10,4,knp_roan_in_4,inside,5,9,40,2,3,14,1,3,16,2,3,11
knp_roan_in_17,Schmidtia pappophoroides,100,Graminoid,knp_roan_in,26.02.2025,14:12,2,49,95,100,31,0,0,none,"",17,knp_roan,knp_roan,knp_roan_17,6,knp_roan_in_6,inside,8,14,40,3,5,14,3,4,16,2,5,11
knp_satara_out_12,Themeda triandra,100,Graminoid,knp_satara_out,22.02.2025,12:36,0,102,94,28,55,0,0,"elephant path, kudu","",12,knp_satara,knp_satara,knp_satara_12,4,knp_satara_out_4,outside,5,16,36,1,2,10,3,11,19,1,3,9
knp_nkuhlu_full_in_13,Digitaria eriantha,95,Graminoid,knp_nkuhlu_full_in,19.02.2025,15:00,0,48,92,90,45,5,0,none,"",13,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_13,5,knp_nkuhlu_full_in_5,inside,4,10,47,,,,3,6,25,1,3,8
knp_satara_in_10,Panicum coloratum,95,Graminoid,knp_satara_in,20.02.2025,13:35,0,28,91,8.6,35,2,0,none,thick moribund layer,10,knp_satara,knp_satara,knp_satara_10,4,knp_satara_in_4,inside,4,10,30,1,4,14,1,3,11,2,3,6
knp_nkuhlu_full_in_18,Panicum maximum,95,Graminoid,knp_nkuhlu_full_in,21.02.2025,9:23,0,42,94,280,68,5,0,none,"",18,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_18,6,knp_nkuhlu_full_in_6,inside,5,12,47,1,6,18,3,5,25,1,1,8
knp_nkuhlu_full_in_4,Panicum maximum,95,Graminoid,knp_nkuhlu_full_in,18.02.2025,10:23,0,46,96,300,66,0,0,none,"",4,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_4,2,knp_nkuhlu_full_in_2,inside,9,18,47,6,8,18,2,7,25,1,3,8
knp_nkuhlu_full_out_1,Panicum maximum,95,Graminoid,knp_nkuhlu_full_out,19.02.2025,8:34,17,38,95,120,60,5,0,elephant dung,"",1,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_1,1,knp_nkuhlu_full_out_1,outside,11,21,70,4,6,18,6,14,38,1,1,16
knp_satara_in_3,Panicum maximum,95,Graminoid,knp_satara_in,20.02.2025,11:11,0,53,95,0,55.4,10,0,none,"",3,knp_satara,knp_satara,knp_satara_3,1,knp_satara_in_1,inside,2,14,30,,,,1,7,11,1,3,6
knp_satara_in_9,Panicum maximum,95,Graminoid,knp_satara_in,20.02.2025,13:17,1,48,92,36,70,5,0,none,"",9,knp_satara,knp_satara,knp_satara_9,3,knp_satara_in_3,inside,5,12,30,1,4,14,3,3,11,1,5,6
pnr_in_1,Panicum maximum,95,Graminoid,pnr_in,13.02.2025,7:47,0,68,95,38.4,45,0,0,none,"",1,pnr,pnr,pnr_1,1,pnr_in_1,inside,4,9,31,,,,2,3,11,2,4,7
pnr_in_6,Panicum maximum,95,Graminoid,pnr_in,13.02.2025,9:46,0,35,94,0,21.8,2,0,none,"",6,pnr,pnr,pnr_6,2,pnr_in_2,inside,2,5,31,,,,1,3,11,1,1,7
pnr_in_8,Panicum maximum,95,Graminoid,pnr_in,13.02.2025,10:56,3,33,93,500,27.4,0,0,none,"",8,pnr,pnr,pnr_8,3,pnr_in_3,inside,7,15,31,4,6,14,2,6,11,1,3,7
knp_roan_in_15,Schmidtia pappophoroides,95,Graminoid,knp_roan_in,26.02.2025,13:28,0,44,92,100,32,10,0,none,moribund layer,15,knp_roan,knp_roan,knp_roan_15,5,knp_roan_in_5,inside,8,13,40,4,5,14,1,4,16,3,4,11
knp_roan_in_4,Aspilia mossambicensis,90,Shrub,knp_roan_in,26.02.2025,9:33,3,10,91,160,20,10,0,none,"",4,knp_roan,knp_roan,knp_roan_4,2,knp_roan_in_2,inside,3,18,40,2,7,14,,,,1,5,11
knp_satara_in_8,Panicum coloratum,90,Graminoid,knp_satara_in,20.02.2025,12:59,0,37,94,38,60,15,0,none,"",8,knp_satara,knp_satara,knp_satara_8,3,knp_satara_in_3,inside,4,12,30,1,4,14,1,3,11,2,5,6
knp_nkuhlu_full_in_15,Panicum maximum,90,Graminoid,knp_nkuhlu_full_in,19.02.2025,15:36,0,13,93,24,40,10,0,none,"",15,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_15,5,knp_nkuhlu_full_in_5,inside,3,10,47,,,,,,,3,3,8
knp_nkuhlu_full_in_6,Panicum maximum,90,Graminoid,knp_nkuhlu_full_in,18.02.2025,11:05,3,36,96,40,48.9,5,0,none,"",6,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_6,2,knp_nkuhlu_full_in_2,inside,6,18,47,1,8,18,3,7,25,2,3,8
knp_roan_in_13,Panicum maximum,90,Graminoid,knp_roan_in,26.02.2025,12:55,0,71,94,240,110,40,0,none,"",13,knp_roan,knp_roan,knp_roan_13,5,knp_roan_in_5,inside,2,13,40,1,5,14,,,,1,4,11
pnr_out_8,Panicum maximum,90,Graminoid,pnr_out,14.02.2025,8:32,4,20,94,620,80,5,0,"fresh tracks, flattened grass","",8,pnr,pnr,pnr_8,3,pnr_out_3,outside,3,18,49,1,7,19,1,9,23,1,2,7
knp_satara_out_17,Themeda triandra,90,Graminoid,knp_satara_out,22.02.2025,14:02,0,26,93,0,59,10,0,path,"",17,knp_satara,knp_satara,knp_satara_17,6,knp_satara_out_6,outside,5,10,36,,,,4,5,19,1,4,9
knp_satara_out_5,Bothriochloa insculpta,85,Graminoid,knp_satara_out,22.02.2025,10:36,0,10,92,8,60,5,0,none,"",5,knp_satara,knp_satara,knp_satara_5,2,knp_satara_out_2,outside,6,15,36,1,5,10,2,4,19,3,6,9
knp_satara_out_3,Panicum coloratum,85,Graminoid,knp_satara_out,22.02.2025,9:50,3,19,94,16,61,10,0,buffalo,"",3,knp_satara,knp_satara,knp_satara_3,1,knp_satara_out_1,outside,7,13,36,2,2,10,2,7,19,3,5,9
knp_nkuhlu_full_in_7,Panicum maximum,85,Graminoid,knp_nkuhlu_full_in,18.02.2025,11:24,5,57,95,50,52.2,5,0,none,mad hot,7,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_7,3,knp_nkuhlu_full_in_3,inside,8,13,47,3,4,18,4,8,25,1,2,8
pnr_in_9,Panicum maximum,85,Graminoid,pnr_in,13.02.2025,11:34,0,12,94,390,71,0,0,none,"",9,pnr,pnr,pnr_9,3,pnr_in_3,inside,6,15,31,2,6,14,2,6,11,2,3,7
addo_jack_out_11,Cynodon dactylon,80,Graminoid,addo_jack_out,07.02.2025,12:10,1,6,97,122,12,5,0,digging and dung,"",11,addo_jack,addo_jack,addo_jack_11,4,addo_jack_out_4,outside,12,20,37,7,11,17,4,6,17,1,3,4
knp_nkuhlu_full_in_14,Digitaria eriantha,80,Graminoid,knp_nkuhlu_full_in,19.02.2025,15:20,49,1,91,20,50,5,0,old antelope dung,"",14,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_14,5,knp_nkuhlu_full_in_5,inside,8,10,47,2,2,18,4,6,25,2,3,8
knp_satara_in_1,Panicum coloratum,80,Graminoid,knp_satara_in,20.02.2025,10:16,0,25,94,52,65,0,0,none,"",1,knp_satara,knp_satara,knp_satara_1,1,knp_satara_in_1,inside,7,14,30,2,4,14,2,7,11,3,3,6
knp_satara_in_18,Panicum coloratum,80,Graminoid,knp_satara_in,22.02.2025,15:57,1,21,91,58,56,2,0,none,moribund layer,18,knp_satara,knp_satara,knp_satara_18,6,knp_satara_in_6,inside,6,12,30,2,4,14,2,4,11,2,4,6
knp_satara_out_8,Panicum coloratum,80,Graminoid,knp_satara_out,22.02.2025,11:30,5,53,92,84,63,5,0,none,"",8,knp_satara,knp_satara,knp_satara_8,3,knp_satara_out_3,outside,6,15,36,2,6,10,1,3,19,3,6,9
knp_satara_out_9,Panicum coloratum,80,Graminoid,knp_satara_out,22.02.2025,11:40,0,43,92,55,46,5,0,elephant dung,"",9,knp_satara,knp_satara,knp_satara_9,3,knp_satara_out_3,outside,7,15,36,2,6,10,2,3,19,3,6,9
knp_nkuhlu_full_in_3,Panicum maximum,80,Graminoid,knp_nkuhlu_full_in,18.02.2025,9:53,0,60,93,250,37.8,15,0,none,"",3,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_3,1,knp_nkuhlu_full_in_1,inside,5,20,47,3,8,18,1,10,25,1,2,8
knp_nkuhlu_full_in_8,Panicum maximum,80,Graminoid,knp_nkuhlu_full_in,18.02.2025,11:47,7,21,93,120,19,15,0,none,"",8,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_8,3,knp_nkuhlu_full_in_3,inside,6,13,47,3,4,18,2,8,25,1,2,8
knp_satara_out_7,Panicum maximum,80,Graminoid,knp_satara_out,22.02.2025,11:08,0,24,92,44,70,30,0,elephant dung,"",7,knp_satara,knp_satara,knp_satara_7,3,knp_satara_out_3,outside,7,15,36,3,6,10,2,3,19,2,6,9
knp_roan_in_18,Schmidtia pappophoroides,80,Graminoid,knp_roan_in,26.02.2025,14:32,0,41,94,53,35,5,0,none,"",18,knp_roan,knp_roan,knp_roan_18,6,knp_roan_in_6,inside,5,14,40,2,5,14,1,4,16,2,5,11
knp_satara_out_11,Themeda triandra,80,Graminoid,knp_satara_out,22.02.2025,12:16,5,74,95,42,51,10,0,kudu close to plot,"",11,knp_satara,knp_satara,knp_satara_11,4,knp_satara_out_4,outside,11,16,36,1,2,10,9,11,19,1,3,9
knp_satara_out_4,Themeda triandra,80,Graminoid,knp_satara_out,22.02.2025,10:19,0,43,96,80,68,5,0,none,bit of a moribound layer,4,knp_satara,knp_satara,knp_satara_4,2,knp_satara_out_2,outside,7,15,36,2,5,10,3,4,19,2,6,9
knp_roan_out_1,Urochloa mosambicensis,80,Graminoid,knp_roan_out,27.02.2025,8:11,8,120,92,30,50,20,0,none,"",1,knp_roan,knp_roan,knp_roan_1,1,knp_roan_out_1,outside,4,15,38,2,3,6,1,6,20,1,6,12
knp_roan_out_10,Urochloa mosambicensis,80,Graminoid,knp_roan_out,27.02.2025,10:42,4,53,91,44,55,2,0,buffalo tracks,"very large depression/empty basin close (55ish m) by,potentially higher herbivore densities ",10,knp_roan,knp_roan,knp_roan_10,4,knp_roan_out_4,outside,9,17,38,2,4,6,4,7,20,3,6,12
addo_n2_full_in_5,Gymnosporia polyacanthus,70,Shrub,addo_nyathi_full_in,04.02.2025,12:15,0,0,94,172,0.5,98,0,none,"the thickest thicket ever experienced by addo folks, few open patches nearby ",12,addo_n2,addo_nyathi_full,addo_n2_5,4,addo_nyathi_full_in_4,inside,5,20,47,4,9,21,1,9,25,,,
knp_satara_out_16,Panicum coloratum,70,Graminoid,knp_satara_out,22.02.2025,13:47,0,56,95,20,48,10,0,elephant path,"",16,knp_satara,knp_satara,knp_satara_16,6,knp_satara_out_6,outside,6,10,36,1,1,10,2,5,19,3,4,9
addo_n3_full_in_2,Panicum maximum,70,Graminoid,addo_nyathi_full_in,05.02.2025,9:30,2,3,96,180,29.2,5,0,none,some open areas in the exclosure and in the plot,15,addo_n3,addo_nyathi_full,addo_n3_2,5,addo_nyathi_full_in_5,inside,13,20,47,6,12,21,6,7,25,1,1,3
knp_nkuhlu_full_in_17,Panicum maximum,70,Graminoid,knp_nkuhlu_full_in,21.02.2025,8:59,0,27,91,250,50,15,0,none,"",17,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_17,6,knp_nkuhlu_full_in_6,inside,7,12,47,4,6,18,2,5,25,1,1,8
knp_nkuhlu_full_out_3,Panicum maximum,70,Graminoid,knp_nkuhlu_full_out,19.02.2025,9:30,0,12,94,400,28.4,30,0,impala and ellie dung in plot,"",3,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_3,1,knp_nkuhlu_full_out_1,outside,11,21,70,4,6,18,6,14,38,1,1,16
knp_satara_in_6,Panicum maximum,70,Graminoid,knp_satara_in,20.02.2025,12:16,0,50,91,50,75,40,0,none,"",6,knp_satara,knp_satara,knp_satara_6,2,knp_satara_in_2,inside,3,10,30,2,4,14,,,,1,3,6
pnr_out_5,Panicum maximum,70,Graminoid,pnr_out,14.02.2025,15:54,1,25,94,200,68.8,20,0,tracks,"",5,pnr,pnr,pnr_5,2,pnr_out_2,outside,4,8,49,1,3,19,2,4,23,1,1,7
knp_roan_out_6,Urochloa mosambicensis,70,Graminoid,knp_roan_out,27.02.2025,9:38,0,71,93,166,40,10,0,zebra and buffalo tracks,"",6,knp_roan,knp_roan,knp_roan_6,2,knp_roan_out_2,outside,6,10,38,2,3,6,1,2,20,3,5,12
knp_nkuhlu_full_in_10,Dichrostachys cinerea,65,Graminoid,knp_nkuhlu_full_in,18.02.2025,12:23,0,5,95,100,23,20,0,none,"",10,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_10,4,knp_nkuhlu_full_in_4,inside,10,22,47,4,7,18,3,11,25,3,4,8
knp_nkuhlu_full_out_9,Panicum maximum,65,Graminoid,knp_nkuhlu_full_out,19.02.2025,12:00,17,78,93,135,46,25,0,path,"",9,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_9,3,knp_nkuhlu_full_out_3,outside,8,26,70,1,4,18,5,13,38,2,9,16
knp_satara_in_13,Themeda triandra,65,Graminoid,knp_satara_in,22.02.2025,14:44,0,29,94,48,52,0,0,none,thick moribund layer,13,knp_satara,knp_satara,knp_satara_13,5,knp_satara_in_5,inside,4,6,30,1,1,14,1,1,11,2,4,6
addo_n1_full_in_3,Carissa bispinosa,60,Shrub,addo_nyathi_full_in,03.02.2025,11:55,0,0,93,304,30,70,0,elephant dung,"",4,addo_n1,addo_nyathi_full,addo_n1_3,2,addo_nyathi_full_in_2,inside,12,15,47,8,10,21,4,5,25,,,
knp_satara_out_2,Cenchrus ciliaris,60,Graminoid,knp_satara_out,22.02.2025,9:30,7,10,93,15.6,46,20,0,buffalo,"",2,knp_satara,knp_satara,knp_satara_2,1,knp_satara_out_1,outside,8,13,36,,,,4,7,19,4,5,9
pnr_in_16,Cenchrus ciliaris,60,Graminoid,pnr_in,13.02.2025,14:53,0,6,92,100,60,0,0,none,"",16,pnr,pnr,pnr_16,6,pnr_in_6,inside,5,6,31,2,3,14,,,,3,3,7
addo_jack_out_17,Cynodon dactylon,60,Graminoid,addo_jack_out,07.02.2025,10:10,1,1,95,166,26,30,0,dung and tracks,many paths and open areas in veg,17,addo_jack,addo_jack,addo_jack_17,6,addo_jack_out_6,outside,13,23,37,6,11,17,5,10,17,2,2,4
addo_n3_full_out_3,Cynodon dactylon,60,Graminoid,addo_nyathi_full_out,05.02.2025,12:30,1,0,92,206,12.2,10,0,none,lots of grass in the big plot,16,addo_n3,addo_nyathi_full,addo_n3_3,6,addo_nyathi_full_out_6,outside,8,21,45,4,7,18,2,11,25,2,3,3
knp_nkuhlu_full_in_1,Dichrostachys cinerea,60,Shrub,knp_nkuhlu_full_in,18.02.2025,8:51,75,13,95,250,80,50,0,none,"",1,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_1,1,knp_nkuhlu_full_in_1,inside,9,20,47,4,8,18,4,10,25,1,2,8
addo_jack_in_1,Euclea undulata,60,Tree,addo_jack_in,05.02.2025,15:05,0,0,92,264,14.6,95,0,none,"very dense, lots of dead wood ",1,addo_jack,addo_jack,addo_jack_1,1,addo_jack_in_1,inside,7,15,38,5,10,22,2,5,19,,,
knp_nkuhlu_full_in_9,Heteropogon contortus,60,Graminoid,knp_nkuhlu_full_in,18.02.2025,12:07,0,87,94,40,60,30,0,none,"",9,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_9,3,knp_nkuhlu_full_in_3,inside,6,13,47,,,,4,8,25,2,2,8
pnr_in_13,Lantana camara,60,Shrub,pnr_in,13.02.2025,13:52,0,96,93,210,23.6,0,0,none,"",13,pnr,pnr,pnr_13,5,pnr_in_5,inside,4,4,31,3,3,14,,,,1,1,7
knp_nkuhlu_full_in_5,Panicum maximum,60,Graminoid,knp_nkuhlu_full_in,18.02.2025,10:46,0,31,96,150,50.6,10,0,none,"",5,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_5,2,knp_nkuhlu_full_in_2,inside,9,18,47,5,8,18,2,7,25,2,3,8
knp_nkuhlu_full_out_12,Panicum maximum,60,Graminoid,knp_nkuhlu_full_out,19.02.2025,12:57,37,102,95,10,43,30,0,elephant dung,"",12,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_12,4,knp_nkuhlu_full_out_4,outside,11,29,70,2,5,18,5,15,38,4,9,16
pnr_out_18,Panicum maximum,60,Graminoid,pnr_out,14.02.2025,12:56,11,16,94,85,36.8,15,0,none,"",18,pnr,pnr,pnr_18,6,pnr_out_6,outside,10,17,49,2,5,19,6,9,23,2,3,7
addo_jack_in_3,Portulacaria afra,60,Shrub,addo_jack_in,05.02.2025,16:30,0,0,91,180,14.8,80,0,none,"Dense veg, some open areas though ",3,addo_jack,addo_jack,addo_jack_3,1,addo_jack_in_1,inside,10,15,38,8,10,22,2,5,19,,,
addo_jack_in_7,Portulacaria afra,60,Shrub,addo_jack_in,06.02.2025,10:50,0,0,92,262,15.6,90,0,none,Pretty dense canopy,7,addo_jack,addo_jack,addo_jack_7,3,addo_jack_in_3,inside,15,19,38,8,12,22,6,7,19,1,1,1
addo_jack_in_9,Portulacaria afra,60,Shrub,addo_jack_in,06.02.2025,11:50,0,0,97,280,7.8,90,0,none,Some openish areas in the plot,9,addo_jack,addo_jack,addo_jack_9,3,addo_jack_in_3,inside,7,19,38,6,12,22,1,7,19,,,
addo_n1_full_in_2,Portulacaria afra,60,Shrub,addo_nyathi_full_in,03.02.2025,11:10,0,0,95,220,48,50,0,elephant dung,"",3,addo_n1,addo_nyathi_full,addo_n1_2,1,addo_nyathi_full_in_1,inside,10,22,47,6,11,21,4,9,25,,,
addo_n2_full_in_2,Portulacaria afra,60,Shrub,addo_nyathi_full_in,04.02.2025,9:30,0,0,97,220,0.1,99,0,none,the thickest thicket ever experienced by addo folks,9,addo_n2,addo_nyathi_full,addo_n2_2,3,addo_nyathi_full_in_3,inside,9,21,47,8,15,21,1,6,25,,,
addo_n2_full_in_4,Portulacaria afra,60,Shrub,addo_nyathi_full_in,04.02.2025,11.15,0,0,91,200,5,95,0,none,the thickest thicket ever experienced by addo folks,11,addo_n2,addo_nyathi_full,addo_n2_4,4,addo_nyathi_full_in_4,inside,9,20,47,5,9,21,3,9,25,1,2,3
addo_n3_full_in_2,Portulacaria afra,60,Shrub,addo_nyathi_full_in,05.02.2025,9:30,2,3,96,180,29.2,5,0,none,some open areas in the exclosure and in the plot,15,addo_n3,addo_nyathi_full,addo_n3_2,5,addo_nyathi_full_in_5,inside,13,20,47,6,12,21,6,7,25,1,1,3
