effect,component,term,estimate,std.error,statistic,p.value,scale,formula,response_name,response_tier,n,ci_ub,ci_lb,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier,biome_clean
fixed,cond,Thicket,0.0259987888952498,0.228061305277512,0.113999123453291,0.909238488297839,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.472998947239174,-0.421001369448675,non-significant,2.63397054677967,60.4799693505119,-34.3610797482768,Plant Functional Dispersion,"Functional
Diversity",Thicket
fixed,cond,Savanna,-0.035898470952222,0.0379132271628091,-0.946858751909057,0.34371075897593,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,0.0384114542868838,-0.110208396191328,non-significant,-3.52617625344358,3.9158711235056,-10.4352533674102,Plant Functional Specialization,"Functional
Diversity",Savanna
fixed,cond,Thicket,-0.0376729679538868,0.0449381164080232,-0.838329929359493,0.401845431138143,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,0.0504057402058387,-0.125751676113612,non-significant,-3.69721696392539,5.16977258715767,-11.8166200007003,Plant Functional Specialization,"Functional
Diversity",Thicket
fixed,cond,Savanna,0.133700249766063,0.0635481046602068,2.10392191051112,0.035385259367356,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,0.258254534900068,0.00914596463205775,significant,14.3050138741383,29.466831495847,0.918791676662445,Plant Functional Diversity,"Functional
Diversity",Savanna
fixed,cond,Thicket,0.128157073242712,0.0882944711864627,1.45147336543945,0.146648093580903,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,0.301214236768179,-0.0449000902827552,non-significant,13.6731538783962,35.1498851271187,-4.39069999572842,Plant Functional Diversity,"Functional
Diversity",Thicket
fixed,cond,Savanna,-0.585271446562176,0.102298735400215,-5.72119923352394,1.05774772164122e-08,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,-0.384765925177756,-0.785776967946597,significant,-44.3045342135959,-31.9390068790949,-54.4234550963123,Plant Functional Distance,"Functional
Diversity",Savanna
fixed,cond,Thicket,-0.0651812013161636,0.141626186119656,-0.460234107138166,0.645348191991929,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,0.212406123478362,-0.342768526110689,non-significant,-6.31023190974261,23.665001571398,-29.0197506710226,Plant Functional Distance,"Functional
Diversity",Thicket
fixed,cond,Savanna,0.34778760864573,0.100728113460975,3.45273624905597,0.000554931303222244,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,0.545214711029241,0.15036050626222,significant,41.593148619546,72.4978714573034,16.2253166756279,Plant Evenness,Dominance,Savanna
fixed,cond,Thicket,0.019758527117873,0.128441401053447,0.153833008327674,0.8777414067245,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,0.27150367318263,-0.231986618946884,non-significant,1.99550188099737,31.1935690827026,-20.7043266168132,Plant Evenness,Dominance,Thicket
fixed,cond,Savanna,0.585456022288051,0.119534334665241,4.89780634097841,9.6912475706564e-07,plot,biome + 0 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,0.819743318231923,0.35116872634418,significant,79.5809728204443,126.991711640983,42.0727019766415,Shannon Diversity,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.0293723607118812,0.156808891792077,0.187313106904855,0.851415147039092,plot,biome + 0 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,0.336717788624352,-0.27797306720059,non-significant,2.98079831249631,40.03438150149,-24.2682782087612,Shannon Diversity,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.0785262460229514,0.0275619308403418,-2.84908363197887,0.00438453533773413,plot,biome + 0 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,-0.0245048615758814,-0.132547630470021,significant,-7.55222042523098,-2.42070549845708,-12.4138784568693,Vegetation Density,"Vegetation
Structure",Savanna
fixed,cond,Thicket,-0.227831864568278,0.0395309738116637,-5.76337597079523,8.24478482069837e-09,plot,biome + 0 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,-0.150351155897417,-0.305312573239139,significant,-20.3741872214757,-13.9594213195879,-26.3106994643678,Vegetation Density,"Vegetation
Structure",Thicket
fixed,cond,Savanna,-0.443175650456618,0.0844932922367462,-5.24509861936568,1.56198754611357e-07,plot,biome + 0 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,-0.277568797672596,-0.608782503240641,significant,-35.8005569431414,-24.2376559919409,-45.5987200135676,Vegetation Height,"Vegetation
Structure",Savanna
fixed,cond,Thicket,-0.286849458804018,0.106918830908936,-2.68287126192328,0.00729930828148066,plot,biome + 0 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,-0.0772885502225043,-0.496410367385532,significant,-24.9375279724955,-7.437727357512,-39.1288205655659,Vegetation Height,"Vegetation
Structure",Thicket
