effect,component,term,estimate,std.error,ci_lb,ci_ub,response_tier,formula_id,response,bayes_rsq,formula,tier,scale,delta_loo
fixed,cond,(Intercept),0.283127656440204,0.19470227933405,-0.153404232978781,0.646606907792381,richness_dominance,formula_1,forb_richness_plot,0.243,forb_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,-1.7787907358217
fixed,cond,berger_parker_plot,0.414245547682887,0.160009756738629,0.105329643245694,0.717565336941967,fun_div_dominance,formula_4,functional_nearerst_neighbour_distance_plot,0.229,functional_nearerst_neighbour_distance_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,8.8740516691775
fixed,cond,mean_point_height_plot,0.389255094883013,0.205289264569199,-0.0177675336205281,0.785491283068429,fun_div_dominance,formula_4,functional_nearerst_neighbour_distance_plot,0.229,functional_nearerst_neighbour_distance_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,8.8740516691775
fixed,cond,point_return_fraction_plot,-0.347874112232832,0.391038702067415,-1.13041514825708,0.398021950895856,fun_div_dominance,formula_4,functional_nearerst_neighbour_distance_plot,0.229,functional_nearerst_neighbour_distance_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,8.8740516691775
fixed,cond,(Intercept),-0.00300200121699811,0.0388318795202614,-0.0807677748352504,0.0782267896486462,fun_div_dominance,formula_5,functional_specialization_plot,0.409,functional_specialization_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,0.956388266615846
fixed,cond,berger_parker_plot,0.0228679717716784,0.0299377460020828,-0.0355964281876669,0.080858019583213,fun_div_dominance,formula_5,functional_specialization_plot,0.409,functional_specialization_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,0.956388266615846
fixed,cond,mean_point_height_plot,0.0782799582573872,0.0374989629102322,0.00376527192197855,0.149913181742897,fun_div_dominance,formula_5,functional_specialization_plot,0.409,functional_specialization_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,0.956388266615846
fixed,cond,point_return_fraction_plot,-0.0022727109340458,0.0678901924638097,-0.136701229146139,0.133110668229368,fun_div_dominance,formula_5,functional_specialization_plot,0.409,functional_specialization_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,0.956388266615846
fixed,cond,(Intercept),0.0445512494252304,0.134513793191071,-0.23214790381299,0.303933835709385,richness_dominance,formula_6,graminoid_richness_plot,0.421,graminoid_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,28.4105050556607
fixed,cond,berger_parker_plot,-0.656762537896483,0.113453757686153,-0.876921728360146,-0.428639146128868,richness_dominance,formula_6,graminoid_richness_plot,0.421,graminoid_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,28.4105050556607
fixed,cond,mean_point_height_plot,-0.141050171185937,0.13998560903001,-0.418879716242753,0.133268633735704,richness_dominance,formula_6,graminoid_richness_plot,0.421,graminoid_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,28.4105050556607
fixed,cond,point_return_fraction_plot,-0.372719138237476,0.275800542787087,-0.928722546508959,0.1598305319677,richness_dominance,formula_6,graminoid_richness_plot,0.421,graminoid_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,28.4105050556607
fixed,cond,(Intercept),0.147416698753996,0.143078081674777,-0.133300914681696,0.394520360888729,richness_dominance,formula_7,plant_richness_plot,0.411,plant_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,20.642536082156
fixed,cond,berger_parker_plot,-0.458771320258934,0.0934922479729158,-0.642023036131474,-0.277385945886262,richness_dominance,formula_7,plant_richness_plot,0.411,plant_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,20.642536082156
fixed,cond,mean_point_height_plot,-0.0737009800472195,0.122091615252897,-0.308498562437151,0.166635802344676,richness_dominance,formula_7,plant_richness_plot,0.411,plant_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,20.642536082156
fixed,cond,point_return_fraction_plot,-0.059079920490927,0.225746037795183,-0.514306328465893,0.383719863437488,richness_dominance,formula_7,plant_richness_plot,0.411,plant_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,20.642536082156
fixed,cond,(Intercept),0.0927419988104727,0.151574654559015,-0.210387028764085,0.384561032888545,richness_dominance,formula_8,shannon_diversity_plot,0.661,shannon_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,80.6502566928329
fixed,cond,berger_parker_plot,-1.06721972513532,0.108616108446625,-1.27992899782501,-0.855702136372386,richness_dominance,formula_8,shannon_diversity_plot,0.661,shannon_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,80.6502566928329
fixed,cond,mean_point_height_plot,-0.286043421533168,0.140346475483066,-0.561908217921359,-0.00685724778934522,richness_dominance,formula_8,shannon_diversity_plot,0.661,shannon_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,80.6502566928329
fixed,cond,point_return_fraction_plot,0.361257260706921,0.251627103847758,-0.125903098776541,0.87185794803041,richness_dominance,formula_8,shannon_diversity_plot,0.661,shannon_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,80.6502566928329
fixed,cond,(Intercept),-0.0760730414551761,0.121946660652838,-0.319568460378582,0.15247479284656,richness_dominance,formula_9,woody_richness_plot,0.344,woody_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,5.15403594126369
fixed,cond,berger_parker_plot,-0.273078490650427,0.113023235258186,-0.498370361204166,-0.0536738494635944,richness_dominance,formula_9,woody_richness_plot,0.344,woody_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,5.15403594126369
fixed,cond,mean_point_height_plot,0.311619971204384,0.139365852905471,0.0376181738971057,0.586340334462926,richness_dominance,formula_9,woody_richness_plot,0.344,woody_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,5.15403594126369
fixed,cond,point_return_fraction_plot,-0.173948870241242,0.260281684131227,-0.681080982169122,0.347873726522549,richness_dominance,formula_9,woody_richness_plot,0.344,woody_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,5.15403594126369
fixed,cond,(Intercept),0.328343897321946,0.18787466462226,-0.0608250932911111,0.684738446028585,richness_evenness,formula_10,forb_richness_plot,0.228,forb_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,-2.48750060487282
fixed,cond,plant_evenness_plot,0.0686957253795967,0.150719688745399,-0.221548809896227,0.369615044267625,richness_evenness,formula_10,forb_richness_plot,0.228,forb_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,-2.48750060487282
fixed,cond,mean_point_height_plot,-0.0124399451286662,0.242167020782429,-0.491599645907478,0.444208025857488,richness_evenness,formula_10,forb_richness_plot,0.228,forb_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,-2.48750060487282
fixed,cond,point_return_fraction_plot,-0.10220152114106,0.470657055378148,-1.00236884441557,0.821552131307955,richness_evenness,formula_10,forb_richness_plot,0.228,forb_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,-2.48750060487282
fixed,cond,(Intercept),0.0435108551431065,0.113437967917723,-0.184672102174978,0.267779315347354,fun_div_evenness,formula_11,functional_dispersion_plot,0.782,functional_dispersion_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,115.089122821386
fixed,cond,plant_evenness_plot,1.04739890634159,0.0761867280760313,0.898244975384056,1.19842751851038,fun_div_evenness,formula_11,functional_dispersion_plot,0.782,functional_dispersion_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,115.089122821386
fixed,cond,mean_point_height_plot,0.255377351410615,0.119751477244478,0.0219750641714554,0.497078381047535,fun_div_evenness,formula_11,functional_dispersion_plot,0.782,functional_dispersion_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,115.089122821386
fixed,cond,point_return_fraction_plot,-0.0765937599502178,0.218923603416799,-0.51578068019801,0.349728348942846,fun_div_evenness,formula_11,functional_dispersion_plot,0.782,functional_dispersion_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,115.089122821386
fixed,cond,(Intercept),0.0736219668806595,0.0595886395875772,-0.0430931675347276,0.192574684676785,fun_div_evenness,formula_12,functional_diversity_plot,0.647,functional_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,64.4982098799563
fixed,cond,plant_evenness_plot,0.381981836607082,0.0430584457243247,0.298908639404225,0.468110417248574,fun_div_evenness,formula_12,functional_diversity_plot,0.647,functional_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,64.4982098799563
fixed,cond,mean_point_height_plot,0.0854301508696001,0.068480899454756,-0.0521738845915763,0.220069300355538,fun_div_evenness,formula_12,functional_diversity_plot,0.647,functional_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,64.4982098799563
fixed,cond,point_return_fraction_plot,-0.0216729822448424,0.124877004564218,-0.255931156961351,0.224391985317064,fun_div_evenness,formula_12,functional_diversity_plot,0.647,functional_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,64.4982098799563
fixed,cond,(Intercept),-0.172297265377458,0.190661516956335,-0.532154832821858,0.231227527396619,fun_div_evenness,formula_13,functional_nearerst_neighbour_distance_plot,0.261,functional_nearerst_neighbour_distance_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,13.4207650507976
fixed,cond,plant_evenness_plot,-0.442308784370018,0.135158034029198,-0.703871546208311,-0.170674274336115,fun_div_evenness,formula_13,functional_nearerst_neighbour_distance_plot,0.261,functional_nearerst_neighbour_distance_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,13.4207650507976
fixed,cond,mean_point_height_plot,0.321707993067865,0.208966120613128,-0.0847401757318439,0.736341814160548,fun_div_evenness,formula_13,functional_nearerst_neighbour_distance_plot,0.261,functional_nearerst_neighbour_distance_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,13.4207650507976
fixed,cond,point_return_fraction_plot,-0.191776471720835,0.394132461115257,-0.971891281161168,0.569851791027973,fun_div_evenness,formula_13,functional_nearerst_neighbour_distance_plot,0.261,functional_nearerst_neighbour_distance_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,13.4207650507976
fixed,cond,(Intercept),-0.0118231707862401,0.0385348123026404,-0.0885860215249529,0.065010590620458,fun_div_evenness,formula_14,functional_specialization_plot,0.373,functional_specialization_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,-1.89183546553846
fixed,cond,plant_evenness_plot,0.0132899844267511,0.0270850249428268,-0.039424375429556,0.0683771820635649,fun_div_evenness,formula_14,functional_specialization_plot,0.373,functional_specialization_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,-1.89183546553846
fixed,cond,mean_point_height_plot,0.0831043016632094,0.0385700686837937,0.00675361456789041,0.156963750503294,fun_div_evenness,formula_14,functional_specialization_plot,0.373,functional_specialization_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,-1.89183546553846
fixed,cond,point_return_fraction_plot,-0.0263697419520105,0.0720937594873472,-0.171088432716205,0.112966158783463,fun_div_evenness,formula_14,functional_specialization_plot,0.373,functional_specialization_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_evenness,plot,-1.89183546553846
fixed,cond,(Intercept),0.0234135675422061,0.156560744988817,-0.302711287082918,0.32658010036804,richness_evenness,formula_15,graminoid_richness_plot,0.429,graminoid_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,32.0325106509036
fixed,cond,plant_evenness_plot,0.49675659795645,0.0921907381602787,0.317434164268911,0.681227581703746,richness_evenness,formula_15,graminoid_richness_plot,0.429,graminoid_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,32.0325106509036
fixed,cond,mean_point_height_plot,-0.135141723798489,0.143171613539329,-0.417321993176209,0.151218419165511,richness_evenness,formula_15,graminoid_richness_plot,0.429,graminoid_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,32.0325106509036
fixed,cond,point_return_fraction_plot,-0.420819388452228,0.290213845985756,-1.00134436446011,0.126857816283001,richness_evenness,formula_15,graminoid_richness_plot,0.429,graminoid_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,32.0325106509036
fixed,cond,(Intercept),0.136929426341941,0.112619643340406,-0.0889059825101787,0.353743939143309,richness_evenness,formula_16,plant_richness_plot,0.491,plant_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,63.352948317881
fixed,cond,plant_evenness_plot,0.274542313352746,0.0674256189897943,0.14345569436516,0.405429403970062,richness_evenness,formula_16,plant_richness_plot,0.491,plant_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,63.352948317881
fixed,cond,mean_point_height_plot,-0.0795789590436884,0.105150065119477,-0.2822898061698,0.126535127466162,richness_evenness,formula_16,plant_richness_plot,0.491,plant_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,63.352948317881
fixed,cond,point_return_fraction_plot,-0.182268890062769,0.200482324251164,-0.568427524676928,0.21584871024387,richness_evenness,formula_16,plant_richness_plot,0.491,plant_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,63.352948317881
fixed,cond,(Intercept),0.0720698764120811,0.067643626704999,-0.0633543765195586,0.20150820861315,richness_evenness,formula_17,shannon_diversity_plot,0.92,shannon_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,227.09440861857
fixed,cond,plant_evenness_plot,1.17008347836166,0.0428761925618161,1.08573169085784,1.25301637604382,richness_evenness,formula_17,shannon_diversity_plot,0.92,shannon_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,227.09440861857
fixed,cond,mean_point_height_plot,-0.0884796869265879,0.0673580583182855,-0.217325558423264,0.0421176030779039,richness_evenness,formula_17,shannon_diversity_plot,0.92,shannon_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,227.09440861857
fixed,cond,point_return_fraction_plot,-0.0762852047719512,0.1197985027818,-0.305125758409253,0.1632182443632,richness_evenness,formula_17,shannon_diversity_plot,0.92,shannon_diversity_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,227.09440861857
fixed,cond,(Intercept),-0.045216307938027,0.123162912446814,-0.288624472171224,0.193388948758499,richness_evenness,formula_18,woody_richness_plot,0.289,woody_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,0.821339385502029
fixed,cond,plant_evenness_plot,0.146048205983099,0.10384407362381,-0.0657297517597658,0.344313980367686,richness_evenness,formula_18,woody_richness_plot,0.289,woody_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,0.821339385502029
fixed,cond,mean_point_height_plot,0.300316583346814,0.151227252488473,-0.00322312990283398,0.594019693403687,richness_evenness,formula_18,woody_richness_plot,0.289,woody_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,0.821339385502029
fixed,cond,point_return_fraction_plot,-0.131152779505128,0.271316367288051,-0.661231780378496,0.405014877571406,richness_evenness,formula_18,woody_richness_plot,0.289,woody_richness_plot ~ plant_evenness_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_evenness,plot,0.821339385502029
